,Course Name,State,County,City,Street,Zip Code,Website,Email,Phone,Green Fees Weekend,Green Fees Weekday,Year Built,Annual Rounds,Manager,Club Pro,Superintendant,Guest Policy,Holes
584,Wildwood Golf Course,ND,Ward,Burlington,County Rd 15,58701-,,,701-725-4653,$11.00,$11.00,1994,N/A,Sam Davis,Al Brabo,Sam Davis,Open,18
585,Cando Golf Club,ND,Towner,Cando,Hwy 281,58324-6359,,,701-968-3813,$15.00,$10.00,1930,N/A,Marie Haugen,Marie Haugen,Steve Lewis,Open,9
586,Cross Roads Golf Course,ND,Foster,Carrington,S Of Carrington,58421-8796,http://www.carringtonnd.com/website/golf.htm,,701-652-2601,$14.00,$14.00,,N/A,Karen Lipetzky,Karen Lipetzky,Dale Eggers,Open,9
587,Cavalier Country Club,ND,Pembina,Cavalier,Hwy 5,58220-4023,,,701-265-4506,$10.00,$8.00,1959,N/A,Judy Goulet,Jeremy Hughes,Claire Longton,Open,9
588,Square Butte Creek Golf Course,ND,Oliver,Center,Country Club Rd,58530-9497,,,701-794-3623,$15.00,$14.00,1982,N/A,Delma Wilkens,Delma Wilkens,Brent Isaack,Open,9
589,Cooperstown Country Club,ND,Griggs,Cooperstown,305 Fairway Dr,58425-,,,701-797-2599,$15.00,$12.00,,N/A,Terry Sorbo,Terry Sorbo,George Vigesaa,Open,9
590,Crosby Country Club,ND,Divide,Crosby,Farms Market Rd,58730-0209,,,701-965-6157,$14.00,$14.00,1930,N/A,Luke Sortland,Luke Sortland,Terry Thon,Open,9
591,Devils Lake Town & Country Club,ND,Ramsey,Devils Lake,Rural Route 5,58301-,,,701-662-2408,$20.00,$20.00,1921,"25,000 (estimated)",Caryn Greening,N/A,Jon LaLonde,Open,18
592,Heart River Municipal Golf Course,ND,Stark,Dickinson,8th St,58601-,,,701-225-9412,$14.00,$14.00,N/A,"35,000 (estimated)",James Kramer,Kevin Bergman,Chuck Simeion,Open,18
593,Drayton Golf Course,ND,Pembina,Drayton,N Main,58225-0310,,,701-454-6547,$11.00,$10.00,1979,N/A,Melissa Halcrow,Melissa Halcrow,Merle Defoe,Open,9
594,Garden Gate Golf Course,ND,Rolette,Dunseith,Hwy 281 N,58329-,,,701-244-5211,$15.00,$10.00,1972,N/A,Jess Campbell,Mark Azure,Corey Espe,Open,9
595,Edgeley Country Club,ND,La Moure,Edgeley,Nw Of Edgeley,58433-9702,,,701-493-2884,$12.00,$12.00,1975,N/A,Kent Madcke,Rory Entzi,Laverne Anderson,Open,9
596,Ellendale Country Club,ND,Dickey,Ellendale,Hwy 281,58436-9615,,,701-349-4292,$12.00,$11.00,,N/A,Lucy Gruenich,Mark Scallon,Dale Davis,Open,9
597,Enderlin Golf Course,ND,Ransom,Enderlin,Enderlin Golf Course,58027-9702,,,701-437-2369,$14.00,$12.00,1957,N/A,Nancy Falck,Marlyne Skramstad,Nancy Falck,Open,9
598,Edgewood Golf Course,ND,Cass,Fargo,3218 2nd St N,58102-,,,701-232-2824,$20.00,$17.00,1920,"33,000 (estimated)",David Kingsrud,David Kingsrud,Mark Lindberg,Open,18
599,El Zagal Par 3 Golf Course,ND,Cass,Fargo,1400 Elm St N,58102-,,,701-232-8156,$14.00,$12.00,1940,"20,000 (estimated)",Ken Ask,Dave Kingsrud,Mark Lindberg,Open,9
600,Par 3 Course at Fargo Country Club,ND,Cass,Fargo,509 26th Ave S,58103-,,,701-237-6746,$4.00,$4.00,,N/A,Dean Larsen,Peter Nervik,Craig Vigen,Reciprocal,27
601,Prairiewood Golf Course,ND,Cass,Fargo,20 Prairiewood Dr,58103-,,,701-232-1445,$18.00,$14.00,1976,"39,176 (estimated)",Kenneth Ask,Dave Alpeter,Eric Hansen,Open,9
602,Regulation Course at Fargo Country Club,ND,Cass,Fargo,509 26th Ave S,58103-,,,701-237-6746,$35.00,$35.00,,N/A,Dean Larsen,Peter Nervik,Craig Vigen,Reciprocal,27
603,Rose Creek Golf Course,ND,Cass,Fargo,1500 Rose Creek Pkwy,58104-6832,,,701-235-5100,$20.00,$17.00,1993,"20,000 (estimated)",Dave Alpeter,Dave Alpeter,Ken Chistopher,Open,18
604,Fessenden Golf Club,ND,Wells,Fessenden,Fessenden Rd,58438-0292,,,701-547-3598,$12.00,$8.00,1962,N/A,Dave Larson,Dave Larson,Loyd Heri,Open,9
605,Forman Golf Course,ND,Sargent,Forman,Hwy 11 W,58032-,,,701-724-3411,$12.00,$11.00,1977,N/A,Mike Sievert,Steve Preble,Brent Lee,Open,9
606,Gackle Country Club,ND,Logan,Gackle,Hwy 56,58422-,,,701-485-3208,$10.00,$10.00,1936,"20,000 (estimated)",Mark Lehr,Mark Lehr,Adam Caseman,Open,9
607,Garrison Golf Club,ND,Mc Lean,Garrison,Hwy 37,58540-,,,701-337-5420,$12.60,$12.60,,N/A,Jeanie Harris,Jeanie Harris,Scott DeWitz,Open,9
608,Crossroads Golf Course,ND,Morton,Glen Ullin,S Of I -94,58631-9769,,,701-348-3330,$10.00,$10.00,1983,N/A,Rick Filibeck,N/A,Dwight Kuntz,Open,9
609,Fair Oaks Golf Course,ND,Walsh,Grafton,Evergreen Dr,58237-,,,701-352-3956,$15.00,$13.00,1952,N/A,Paul Callahan,Paul Callahan,Mark Gilleshamer,Open,9
610,Grand Forks Country Club,ND,Grand Forks,Grand Forks,County Rd 6,58208-3636,,,701-772-3912,$47.00,$47.00,1964,"29,000 (estimated)",Chuck Wright,Leo Marchel,Mark Bergstrom,Reciprocal,18
611,Lincoln Park Golf Course,ND,Grand Forks,Grand Forks,Belmont Rd & Elks Dr,58206-,,scholein1@aol.com,701-746-2788,$15.00,$15.00,1929,"30,000 (estimated)",Dan Tannahill,Dan Tannahill,Dave Clark,Open,18
612,Ray Richards Golf Course,ND,Grand Forks,Grand Forks,Demers Ave,58202-3936,,,701-777-4340,$15.00,$14.00,1966,N/A,Wallace Bloom,Robert Stiles,Dustin Hetletved,Open,9
613,Plainsview Golf Course,ND,Grand Forks,Grand Forks Afb,Hwy 2 E Of Grand Forks,58205-,,,701-747-4279,$12.00,$12.00,,"15,000 (estimated)",Malcolm Rodacker,Malcolm Rodacker,Ray Yost,Closed,9
614,Sisseton Course at Dakota Winds Golf Course,ND,,Hankinson,16849 102nd St. Se,58041-,,jlarsen@dakotamagic.com,800-325-6825,$65.00,$55.00,2004,N/A,Jeff Larson,N/A,Jeff Larson,Open,27
615,Wahpeton Course at Dakota Winds Golf Course,ND,,Hankinson,16849 102nd St. Se,58041-,,jlarsen@dakotamagic.com,800-325-6825,$65.00,$55.00,2004,N/A,Jeff Larson,N/A,Jeff Larson,Open,27
616,Harvey Country Club,ND,Wells,Harvey,Rural Route 3,58341-,,,701-324-2069,$14.00,$14.00,,N/A,Jean Walter,Jean Walter,Vernon Helm,Open,9
617,Hazen Golf Club,ND,Mercer,Hazen,Hwy 200 E,58545-,,,701-748-2011,$13.00,$13.00,1978,N/A,Susan Hagel,Susan Hagel,Bob Fitzgerald,Open,9
618,Hettinger Country Club,ND,Adams,Hettinger,36 Par St,58639-0030,,,701-567-2339,$15.75,$15.75,1998,N/A,Loren Luckow,N/A,N/A,Open,9
619,Goose River Golf Club,ND,Traill,Hillsboro,Frontage Rd N,58045-,,,701-436-5556,$15.75,$14.70,1964,N/A,Michael Crocker,Michael Crocker,Richard Flieth,Open,9
620,Hillcrest Golf Course,ND,Stutsman,Jamestown,3rd St Se,58401-,,,701-252-4320,$15.00,$15.00,,N/A,Kim Cellmer,Kim Cellmer,Marlyn Bertsch,Open,18
621,Jamestown Country Club,ND,Stutsman,Jamestown,Rural Route 1,58401-9702,,,701-252-8448,$30.00,$30.00,1963,N/A,Cory Nelson,Cory Nelson,John Westereng,Closed,18
622,Kenmare Country Club,ND,Ward,Kenmare,Hwy 52,58746-0135,,,701-385-4384,$13.00,$13.00,1917,N/A,Todd Ankenbauer,Todd Ankenbauer,Jim Van Eckhout,Open,9
623,La Moure Country Club,ND,La Moure,La Moure,Hwy 13,58458-,,,701-883-4238,$6.00,$6.00,1937,N/A,Doug Peterson,Don Padersen,Don Padersen,Open,9
624,Memorial Park Country Club,ND,La Moure,Lamoure,9755 66th St Se,58458-9721,,,701-883-4296,$16.00,$14.00,1984,N/A,Brian Roberts,Brian Roberts,Jerry Gilmore,Open,9
625,Langdon Country Club,ND,Cavalier,Langdon,Route 1,58249-9206,,,701-256-5938,$15.00,$12.00,1975,N/A,Roy Herrud,Roy Herrud,Norb Schneider,Open,9
626,Lansford Country Club,ND,Bottineau,Lansford,Off Hwy 83,58750-,,,701-784-5585,$7.00,$7.00,1960,N/A,Robert Kosel,Robert Kosel,Robert Kosel,Open,9
627,Larimore Golf Club,ND,Grand Forks,Larimore,Larimore Recreation Area,58251-,,,701-343-2201,$17.00,$17.00,1969,N/A,Donna Solseng,Donna Solseng,Larry Jacobson,Open,9
628,Leonard Sand Hills Golf Course,ND,Cass,Leonard,Golf Course Rd,58052-9209,,,701-645-2341,$12.00,$12.00,1960,N/A,Clark Richards,Erling Stenhjem,August Pfingsten,Open,9
629,Lidgerwood Golf Club,ND,Richland,Lidgerwood,633 1st Ave Se,58053-6408,,,701-538-4312,$13.00,$11.00,,N/A,Bob Haas,Bob Haas,Myron Koeppe,Open,9
630,Linton Country Club,ND,Emmons,Linton,W Of City,58552-9105,,,701-254-9093,$14.70,$11.55,1930,N/A,Brad Ulland,Brad Ulland,Leo Janher,Closed,9
631,Lisbon Bissell Golf Course,ND,Ransom,Lisbon,Fore Valley Rd,58054-,,,701-683-4510,$14.75,$13.75,1920,N/A,Tom Strahm,Tom Strahm,Steve Dauner,Open,9
632,Mandan Municipal Golf Course,ND,Morton,Mandan,1002 7th St Sw,58554-3963,,,701-667-3272,$14.00,$14.00,N/A,"20,000 (estimated)",Brad Olsen,Brad Olsen,Dave Sterna,Open,9
633,Prairie West Golf Course,ND,Morton,Mandan,2709 Longspur Trl,58554-4692,,ndkelly@btigate.com,701-667-3222,$17.00,$17.00,1989,N/A,Brad Olsen,Brad Olsen,Dave Sterna,Open,18
634,Pioneer Course at Manvel Golf Course,ND,Grand Forks,Manvel,1664 26th Ave Ne,58256-9733,,,701-696-8268,$15.00,$13.00,1993,"20,000 (estimated)",Lee Leach,Lee Leach,Rick Leach,Open,18
635,Settlers Nine Course at Manvel Golf Course,ND,Grand Forks,Manvel,1664 26th Ave Ne,58256-9733,,,701-696-8268,$15.00,$13.00,1993,"20,000 (estimated)",Lee Leach,Lee Leach,Rick Leach,Open,18
636,Maple River Golf Club,ND,Cass,Mapleton,I-94 W Exit 338,58059-9701,,,701-282-5415,$19.00,$17.00,1964,"13,000 (estimated)",N/A,N/A,Larry Waasdorp,Open,18
637,Mayville Golf Club,ND,Traill,Mayville,34 Westwood Dr,58257-,,,701-786-3659,$16.00,$15.00,1967,"6,000 (estimated)",Mike Melhus,Mike Melhus,Eric Rosenberg,Open,9
638,Apple Grove Golf Course,ND,Ward,Minot,2604 Valley St,58701-,,,701-852-5460,$11.50,$9.50,1979,N/A,Ardis Aasen,Ardis Aasen,Roger,Open,9
639,Roughrider Golf Course,ND,Ward,Minot,220 Golf Dr Afb,58704-,,,701-723-6864,$12.00,$12.00,1976,"15,000 (estimated)",Jim Ward,Jim Ward,Ron Kelly,Closed,9
640,Souris Valley Golf Course,ND,Ward,Minot,2400 14th Ave W,58701-,,,701-857-4189,$16.00,$16.00,1968,"30,000 (estimated)",Steve Kottsick,Steve Kottsick,Larry Bellew,Open,18
641,Mohall Country Club,ND,Renville,Mohall,Country Club Dr,58761-,,,701-756-6948,$12.00,$12.00,1982,N/A,Barb Otto,Barb Otto,Dave Schoch,Open,9
642,Mott Country Club,ND,Hettinger,Mott,Hwy 21,58646-,,,701-824-2825,$12.00,$12.00,1942,N/A,Richard Lindemann,Richard Lindemann,Richard Lindemann,Open,9
643,Napoleon Country Club,ND,Logan,Napoleon,Hwy 34,58561-9763,,,701-754-2903,$12.00,$12.00,,N/A,Board of Directors,Board of Directors,Board of Directors,Open,9
644,New Rockford Golf Club,ND,Eddy,New Rockford,Rural Route 1,58356-,,,701-947-2385,$15.00,$15.00,,N/A,Monty Schaffer,Monty Schaffer,Donald Schaffer,Open,9
645,Edgewater Country Club,ND,Mountrail,New Town,Hwy 23 W,58763-0131,,,701-627-9407,$16.00,$14.00,1979,N/A,Carol Hall,Carol Hall,David Iverson,Open,9
646,Northwood Golf Club,ND,Grand Forks,Northwood,Rural Route 2,58267-9532,,,701-587-5373,$15.00,$15.00,1960,N/A,Art Bilden,Gary Bilden,Art Bilden,Open,9
647,Oakes Country Club,ND,Dickey,Oakes,Hwy 1,58474-9717,,,701-742-2405,$15.00,$12.00,1952,N/A,Sharon Vie,Sharon Vie,William Harris,Open,9
648,Oxbow Golf & Country Club,ND,Cass,Oxbow,130 Oxbow Dr,58047-,,,701-588-4669,$45.00,$45.00,1975,N/A,John Dahl,John Dahl,Dave Wood,Closed,18
649,Hillcrest Golf Club,ND,Walsh,Park River,County Rd 12,58270-4803,,,701-284-6733,$13.00,$13.00,,N/A,Allen Axelson,Allen Axelson,Kurt Onstad,Open,9
650,Parshall Golf Club,ND,Mountrail,Parshall,Hwy 37,58770-0381,,,701-862-3899,$10.00,$10.00,1947,N/A,Jerry Jorgenson,Jerry Jorgenson,Kendo Carlson,Open,9
651,Gateway Cities Golf Club,ND,Burke,Portal,S Railway,58772-0096,,,701-926-3145,$7.00,$7.00,1930,N/A,Jo Ann Scheldrup,Jo Ann Scheldrup,Erling Scheldrup,Open,9
652,Ray Golf Association,ND,Williams,Ray,Country Club Rd,58849-0332,,,701-568-2237,$14.00,$12.00,,N/A,Loraine Simpson,Noraine Simpson,John Anderson,Open,9
653,Rolla Municipal Golf Course & Country Club,ND,Rolette,Rolla,Rural Route 1,58367-,,,701-477-6202,$13.00,$13.00,1973,N/A,Scott Mitchell,Sherry Tandeski,Ed Haas,Open,9
654,Rugby Golf Course,ND,Pierce,Rugby,Hwy 2,58368-0292,,,701-776-6917,$17.00,$14.00,1950,N/A,George Dendinger,George Dendinger,Guy Ellis,Open,9
655,Pheasant Country Golf Course,ND,Stark,South Heart,Town Of S Heart,58655-,,,701-677-4653,$14.00,$14.00,1998,N/A,Jerry Perdaems,Don Fisher,Jerry Perdaems,Open,18
656,Stanley Golf Club,ND,Mountrail,Stanley,Hwy 2,58784-,,,701-628-2135,$14.75,$11.75,1930,N/A,Dick Eckert,Lois Eckert,Dick Eckert,Open,9
657,Tioga Golf & Country Club,ND,Williams,Tioga,Hwy 40,58852-,,,701-664-3822,$15.00,$15.00,1961,N/A,Terry Peterson,Terry Peterson,Terry Peterson,Open,9
658,Westridge Golf Course,ND,Mc Lean,Underwood,County Hwy 14 W,58576-0336,,,701-442-5555,$12.00,$12.00,1989,N/A,Veronica Johnson,Veronica Johnson,Dewey ?????,Open,9
659,Valley City Town & Country Club,ND,Barnes,Valley City,500 12th Ave Ne,58072-2433,,,701-845-4626,$17.50,$15.50,1920,N/A,Lori Brown,Carlos Latorre,Rod Johnson,Open,9
660,Bois de Sioux Golf Course,ND,Richland,Wahpeton,R J Hughes Dr,58075-,,,701-642-3673,$21.00,$19.00,1924,N/A,Jeff Bass,Dustin M. Harris,Peter Jensen,Open,18
661,Walhalla Country Club,ND,Pembina,Walhalla,Hwy 5 W,58282-9564,,,701-549-2357,$13.00,$11.00,1937,N/A,Ruth Wirtz,George Kopf,Kenny Kramer,Open,9
662,Painted Woods Golf Course,ND,Mc Lean,Washburn,Hwy 83 S,58577-9503,,,701-462-8480,$13.00,$13.00,1978,N/A,Nadine Berger,Nadine Berger,Larry Scholl,Open,9
663,Watford City Golf Course,ND,Mc Kenzie,Watford City,Hwy 23,58854-,,,701-842-2074,$18.00,$18.00,1964,N/A,Arne Leom,N/A,Robin Arndt,Open,9
664,Westhope Country Club,ND,Bottineau,Westhope,Rural Route 21,58793-,,,701-245-6553,$12.00,$12.00,1991,"5,000 (estimated)",Rhonda Stead,Rhonda Stead,Gordon Ritts,Open,9
665,Williston Country Club,ND,Williams,Williston,Country Club Rd,58801-,,,701-572-6500,$18.00,$18.00,1958,N/A,Steve Maisey,Henry Neiss,Jamie Buck,Open,9
666,Williston Municipal Golf Course,ND,Williams,Williston,Nw Of Williston,58802-,,,701-774-1321,$15.00,$15.00,1975,N/A,Roger Hartgrove,Roger Hartgrove,Kirk Erdman,Open,9
667,Beaver Valley Golf Club,ND,Mc Intosh,Wishek,Hwy 13,58495-9702,,,701-452-2128,$2.50,$2.50,,N/A,Board of Directors,Board of Directors,Robert Robidou,Open,9
668,North Star Golf Club,AK,Fairbanks North Star,Fairbanks,330 Golf Club Dr,99712-2214,http://www.northstargolf.com,northstargolf@hotmail.com,907-457-4653,$28.00,$28.00,1993,"43,000 (estimated)",Roger Evans,Jim Henry,Roger Evans,Open,9
669,Mendenhall Golf Course,AK,Juneau,Juneau,2101 Industrial Blvd,99801-8534,http://home.gci.net/~hakari/mendenhall_golf/golf.html,,907-789-1221,$20.00,$20.00,1986,"15,000 (estimated)",Tom File,Tom File,Tom File,Open,9
670,Anchorage Golf Course,AK,Anchorage,Anchorage,3651 O'malley Rd,99516-4266,,,907-522-3363,$40.00,$40.00,1987,"44,000 (estimated)",James Contreras,Rich Sayers,Ben Koerber,Open,18
671,Par T Golf Course,AK,Anchorage,Anchorage,1307 E 74th Ave,99518-3213,,,907-344-5717,N/A,N/A,,N/A,Vic Cummings,Vic Cummings,N/A,Open,0
672,Russian Jack Springs Golf Course,AK,Anchorage,Anchorage,5300 Debarr Rd,99508-,,,907-333-8338,$12.00,$12.00,1970,N/A,Jeff Barnhart,Nick Martinez,not available,Open,9
673,Tanglewood Lakes Golf Club,AK,Anchorage,Anchorage,11701 Brayton Dr,99516-7708,,,907-345-4600,$25.00,$25.00,1996,N/A,Bob Klien,Bob Klien,Shane Sandberg,Open,9
674,Eagleglen Golf Course,AK,Anchorage,Elmendorf Afb,Mwrs/mwbg Bldg 23-100,99506-,,eagleglen1@aol.com,907-552-3821,$32.00,$32.00,1972,"30,000 (estimated)",Mark Dolejsi,Ken Doy,Rocky Cole,Open,18
675,Fairbanks Golf & Country Club,AK,Fairbanks North Star,Fairbanks,1735 Farmers Loop Rd,99709-6712,,,907-479-6555,$29.00,$29.00,1946,"20,000 (estimated)",Tom Mulka,Tom Mulka,Randy Scharfenberg,Open,9
676,Creek Course at Moose Run Golf Course,AK,Anchorage,Fort Richardson,27000 Artic Valley Rd,99505-,,,907-428-0056,$35.00,$35.00,2000,N/A,Gary Sanford,N/A,Matt Leseman,Open,36
677,Moose Run Course at Moose Run Golf Course,AK,Anchorage,Fort Richardson,27000 Artic Valley Rd,99505-,,,907-428-0056,$27.00,$27.00,1952,N/A,Gary Sanford,N/A,Matt Leseman,Open,36
678,Chena Bend Golf Course,AK,Fairbanks North Star,Fort Wainwright,Bldg 2092 Afvr-Fw-Pad,99703-,,,907-353-6223,$30.00,$30.00,1942,N/A,Randy Blanchard,Randy Blanchard,George Howe,Open,18
679,Black Diamond Golf Course,AK,Denali,Healy,Mile 247 George Park Hwy Otto Lake Rd,99743-,http://www.blackdiamondgolf.com,marilyn@usibelli.com,907-683-4653,$30.00,$30.00,1996,N/A,Frank Talerico,David Talerico,Frank Talerico,Open,9
680,Kachemak Bay Lynx Golf,AK,Kenai Peninsula,Homer,56910 E Rd,99603-,http://www.alaskagolfandfishing.com,lynx-bnb@xyz.net,907-235-0606,$13.00,$13.00,1995,N/A,M. Mondari,N/A,D. Hamer,Open,9
681,Kenai Golf Course,AK,Kenai Peninsula,Kenai,1420 Lawton Dr,99611-8232,http://www.kenaigolfcourse.com,,907-283-7500,$22.00,$18.00,1986,"40,000 (estimated)",Carol Morgan,Bill Engberg,N/A,Open,18
682,Bear Valley Golf Course,AK,Kodiak Island,Kodiak,2 8 Mile Anton Larson Bay Rd,99615-,,,907-486-7561,$20.00,$20.00,1986,N/A,Art Bors,Art Bors,Art Bors,Open,9
683,Palmer Golf Course,AK,Matanuska-Susitna,Palmer,1000 Lepak Ave,99645-,,,907-745-4653,$28.00,$28.00,1990,"25,000 (estimated)",Jeff Barnhart,Jeff Barnhart,Mark Troutman,Open,18
684,Birch Ridge Golf Course,AK,Kenai Peninsula,Soldotna,42223 Sterling Hwy,99669-7653,,birchridge@att.net,907-262-5270,$20.00,$18.00,1973,"18,000 (estimated)",Pat Cowan,Tom Walsh,Pat Cowan Tom Walsh,Open,9
685,Settlers Bay Golf Course,AK,Matanuska-Susitna,Wasilla,Mile 8 Knik Rd,99687-,,,907-376-5466,$30.00,$30.00,1975,"25,000 (estimated)",Billy Bomar,Billy Bomar,Jud Scott,Open,18
686,Sleepy Hollow Golf Course,AK,Matanuska-Susitna,Wasilla,Mile 3/5 Schrock Rd,99654-9015,,,907-376-5948,$18.00,$18.00,1990,"16,000 (estimated)",Dave Carney,Jack Randall,Dave Carney,Open,9
687,Muskeg Meadows Golf Course,AK,Wrangell-Petersburg,Wrangell,1/2 Mile Wrangell E Rd,99929-,,,907-874-2538,$18.00,$18.00,1998,N/A,Board of Directors,Judy Bakeberg,Jerry Bakeberg,Open,9
688,Bluffs on Thompson Creek,LA,West Feliciana,Saint Francisville,Hwy 965 At Freeland Rd,70748-,http://www.thebluffs.com,info@thebluffs.com,225-634-5551,$60.00,$50.00,1988,"30,000 (estimated)",Ronnie Melancon,Dwayne David,Brandon Johnson,Open,18
689,Oak Harbor Golf Club,LA,Saint Tammany,Slidell,201 Oak Harbor Blvd,70458-,http://www.oakharborgolf.com,info@oakhaborgolf.com,504-646-0110,$79.00,$79.00,1992,N/A,Jamey Clark,Jamey Clark,Kyle Ducote,Open,18
690,Copper Mill Golf Club,LA,East Baton Rouge,Zachary,2100 Copper Mill Blvd,70791-7300,http://www.coppermillgolf.com,blaine@coppermillgolf.com,225-658-0656,$49.00,$39.00,2003,N/A,N/A,N/A,N/A,Open,18
691,Squire Creek Country Club,LA,Lincoln,Choudrant,289 Squire Creek Pkwy,71227-,http://www.squirecreek.com,cliffbailey@squirecreek.com,318-242-7900,N/A,N/A,2002,N/A,Cliff Bailey,Jeff Parks,Rick Maier,Open,18
692,Abbeville Country Club,LA,Vermilion,Abbeville,10924 Verterans Memorial Dr,70510-2034,,gene@sellersandassociates.com,337-893-5203,$23.50,$18.50,1930,N/A,Chad Massie,Chad Massie,Paul Broussard,Open,18
693,Abita Springs Golf & Country Club,LA,Saint Tammany,Abita Springs,73433 Oliver St,70420-2845,http://www.abitagolf.com,,985-893-2463,$32.50,$27.20,N/A,N/A,Mike Byrd,Robyn Justin,Craig Kimberlin,Open,18
694,Money Hill Golf & Country Club,LA,Saint Tammany Parish,Abita Springs,100 Country Club Dr,70420-4000,http://www.moneyhill.com,info@moneyhill.com,985-892-8250,$95.00,$85.00,1998,"24,000 (estimated)",David Goodyear,Tim Hogan,Bruce Corkern,Reciprocal,18
695,Alexandria Golf & Country Club,LA,Rapides,Alexandria,Hwy 165 S,71301-,,,318-442-2806,$35.00,$25.00,1945,"16,000 (estimated)",Tim Murray,Mac McCall,Brian McMinn,Reciprocal,18
696,Oakwing Golf Club,LA,Rapides,Alexandria,2345 Vandenburg Dr,71303-5609,,,318-561-0260,$49.00,$39.00,2002,N/A,Craig Campo,N/A,Ryan McCavit,Open,18
697,Trails End Golf Course,LA,Bienville,Arcadia,Parish Rd,71001-,,,318-263-7420,$15.00,$12.00,1976,"15,000 (estimated)",Richard Turner,Sharon Gipson,Richard Turner,Open,18
698,TPC of Louisiana,LA,Jefferson,Avondale,11001 Lapalco Blvd,70094-,http://www.tpc.com,,504-436-8721,N/A,N/A,2004,N/A,Bill Delayo,Luke Farabaugh,Jim Moore,Open,18
699,Dumas Park Golf Course,LA,East Baton Rouge,Baker,2400 Lavey Ln,70714-3758,,,225-775-9166,$8.00,$8.00,1965,N/A,Jack Terry,Jeff Bietz,Clark Lovett,Open,18
700,Lone Oak Golf,LA,Morehouse,Bastrop,8084 Dent Cockrell Rd,71220-8777,,,318-283-1245,$7.50,$7.50,1993,N/A,Herald Andrews,Herald Andrews,Herald Andrews,Open,9
701,Morehouse Country Club,LA,Morehouse,Bastrop,1729 Gladney Dr,71220-,,,318-281-9959,$30.00,$25.00,1928,"20,000 (estimated)",Jim Justus,Jim Justus,Tim Copeland,Reciprocal,18
702,Baton Rouge Country Club,LA,East Baton Rouge,Baton Rouge,8551 Jefferson Hwy,70809-4553,,,225-925-2433,$50.00,$50.00,1950,"24,000 (estimated)",Craig Struthers,Craig Struthers,Stan Hickerson,Closed,18
703,Briarwood Golf Club,LA,East Baton Rouge,Baton Rouge,13209 Airline Hwy,70817-5999,,,225-753-1989,$29.00,$19.50,1965,"50,000 (estimated)",Joe Worley,David Boudreaux,David Hadsky,Open,18
704,City Park Golf Course,LA,East Baton Rouge,Baton Rouge,1442 City Park Ave,70808-1037,,info@brec.org,225-387-9523,$5.05,$5.05,1920,N/A,Richy Ory,Richy Ory,Clark Lovett,Open,9
705,Clark Park Golf Course,LA,East Baton Rouge,Baton Rouge,2455 Thomas Rd,70807-,,info@brec.org,225-775-9008,$5.00,$5.00,,N/A,Jack Terry,Tracy Babin,Clark Lovett,Open,9
706,Country Club of Louisiana,LA,East Baton Rouge,Baton Rouge,18400 Blvd Louisiane,70810-,http://www.ccofla.com,ccla@ccofla.com,225-755-4655,$75.00,$65.00,1986,"30,000 (estimated)",Frank Gumpert,Frank Gumpert,John Baute,Reciprocal,18
707,Fairwood Country Club,LA,East Baton Rouge,Baton Rouge,12830 Old Hammond Hwy,70816-1024,,,225-275-0577,$30.00,$20.00,1975,"33,000 (estimated)",Chad Watts,Chad Watts,Fred Jarred,Reciprocal,18
708,Howell Park Golf Course,LA,East Baton Rouge,Baton Rouge,5511 Winbourne Ave,70805-6255,,info@brec.org,225-357-9292,$7.00,$7.00,1960,N/A,Jack Terry,Al Grimmer,Rick Griffin,Open,18
709,LSU Golf Course,LA,East Baton Rouge,Baton Rouge,Nicholson & Burbank,70893-,http://www.lsu.edu/golf,,225-388-3394,$16.00,$15.00,1961,"52,000 (estimated)",Mike Johnson,Mike Johnson,Mitch Fontineau,Open,18
710,Santa Maria Golf Club,LA,East Baton Rouge,Baton Rouge,18460 Santa Maria Pkwy,70810-6053,,santamariagolf@brec.org,225-752-9667,$27.00,$23.00,1987,"30,000 (estimated)",Ken Caldwell,Ken Caldwell,Buddy Gautreau,Open,18
711,Shenandoah Country Club,LA,East Baton Rouge,Baton Rouge,15253 Shenandoah Ave,70817-,,,225-756-1722,$42.00,$32.00,1970,N/A,Craig Campo,Matt Goldsmith,Jim Husted,Closed,18
712,Sherwood Forest Country Club,LA,East Baton Rouge,Baton Rouge,1655 Sherwood Forest Blvd,70815-5499,,,225-272-1141,$55.00,$45.00,1956,"30,000 (estimated)",David Marchand,David Marchand,Ken Robertson,Reciprocal,18
713,University Club,LA,East Baton Rouge,Baton Rouge,15333 Memorial Tower Dr,70810-8383,,,225-819-0800,$65.00,$65.00,1998,N/A,Matt Gillogy,Owen Compton,Will Arnett,Reciprocal,18
714,Webb Park Golf Course,LA,East Baton Rouge,Baton Rouge,1351 Country Club Dr,70806-7021,,info@brec.org,225-383-4919,$8.00,$8.00,1928,N/A,Jack Terry,Greta Morgan,Clark Lovett,Open,18
715,First Second Course at Bayou Barriere Golf Club,LA,Plaquemines,Belle Chasse,7427 Hwy 23,70037-1503,,,504-394-9500,$40.00,$29.00,,N/A,Todd Murray,Tom Monkl,Tom Eschet,Open,27
716,Second Third Course at Bayou Barriere Golf Club,LA,Plaquemines,Belle Chasse,7427 Hwy 23,70037-1503,,,504-394-9500,$40.00,$29.00,,N/A,Todd Murray,Tom Monkl,Tom Eschet,Open,27
